IndividuID,Continent,Age,Sexe,EducationAnnees,Travaille,AccesInternet,TailleMenage,RevenuMensuel,DepensesMensuelles
100,Asie,39.0,Homme,13.0,Non,0.0,4.0,4361.2,3224.5
101,Europe,43.0,Femme,11.0,Non,0.0,5.0,4748.5,3057.7
102,Antarctique,37.0,Homme,10.0,,0.0,4.0,4468.8,3098.0
103,AmeriqueDuSud,46.0,Homme,7.0,Non,,4.0,3283.7,2513.2
104,Asie,35.0,Femme,12.0,Oui,0.0,5.0,4432.7,3430.7
105,Afrique,46.0,Femme,13.0,Non,1.0,5.0,3465.3,2541.0
106,AmeriqueDuNord,24.0,Femme,6.0,,1.0,3.0,3194.0,2306.1
107,AmeriqueDuNord,28.0,Femme,8.0,Oui,0.0,5.0,4674.0,3427.7
108,Oceanie,24.0,Homme,11.0,Non,1.0,3.0,4697.7,3157.7
109,AmeriqueDuNord,44.0,Homme,,Non,0.0,6.0,2202.9,1520.2
110,AmeriqueDuNord,35.0,Homme,7.0,Oui,0.0,6.0,4485.1,3575.0
111,Europe,30.0,Femme,10.0,,1.0,3.0,4139.1,2914.4
112,Antarctique,34.0,Homme,6.0,Oui,1.0,4.0,4841.3,3929.6
113,Oceanie,47.0,Femme,11.0,Oui,0.0,4.0,5200.5,3780.6
114,Asie,29.0,Femme,14.0,Non,1.0,4.0,4700.5,3714.7
115,Antarctique,34.0,Femme,12.0,Oui,0.0,6.0,5316.9,3199.9
116,Asie,28.0,Femme,6.0,Oui,1.0,4.0,4218.1,3168.8
117,Antarctique,33.0,Femme,11.0,Non,0.0,2.0,4762.0,3317.1
118,Oceanie,24.0,Femme,14.0,Non,1.0,4.0,4668.8,3761.0
119,Afrique,43.0,Femme,9.0,Oui,1.0,2.0,4481.9,2698.3
120,AmeriqueDuNord,34.0,Homme,13.0,Oui,0.0,3.0,5965.9,3897.6
121,AmeriqueDuSud,27.0,Femme,8.0,Oui,1.0,5.0,4267.7,3134.0
122,Afrique,44.0,Homme,8.0,Oui,1.0,2.0,4516.2,3082.1
123,Europe,38.0,Homme,11.0,Oui,1.0,4.0,6187.9,4205.4
124,Asie,,Femme,10.0,Non,0.0,5.0,2523.7,1894.8
125,Oceanie,28.0,Homme,12.0,Non,1.0,6.0,,
126,Antarctique,27.0,Femme,10.0,Non,0.0,,5010.1,3504.1
127,Europe,42.0,Homme,8.0,Oui,0.0,4.0,4335.3,3235.9
128,AmeriqueDuSud,41.0,Femme,11.0,Oui,,3.0,4651.5,2757.7
129,Oceanie,40.0,Homme,13.0,Oui,0.0,4.0,5263.0,4173.0
130,Asie,43.0,Femme,7.0,Oui,0.0,5.0,3662.1,2505.9
131,Antarctique,41.0,Femme,7.0,Oui,,6.0,,
132,AmeriqueDuNord,34.0,Homme,14.0,Non,0.0,3.0,4761.3,3493.1
133,AmeriqueDuSud,44.0,Femme,9.0,Oui,0.0,5.0,3843.1,2648.8
134,Antarctique,44.0,Femme,11.0,Non,0.0,5.0,4795.7,2924.0
135,Afrique,24.0,Homme,7.0,Non,1.0,4.0,,
136,AmeriqueDuSud,40.0,Femme,10.0,Non,1.0,5.0,3339.2,2426.3
137,Antarctique,26.0,Femme,7.0,Oui,,5.0,4070.2,2564.5
138,Europe,,Homme,6.0,Oui,0.0,5.0,3698.8,2512.8
139,AmeriqueDuNord,45.0,Femme,13.0,Non,0.0,3.0,4197.1,2705.7
140,Asie,31.0,Femme,7.0,Non,0.0,4.0,2997.7,2318.3
141,AmeriqueDuNord,29.0,Homme,9.0,Non,,3.0,4296.8,2833.3
142,Asie,30.0,Homme,9.0,Oui,1.0,3.0,5030.8,3345.5
143,Oceanie,30.0,Femme,11.0,Non,1.0,5.0,4816.1,3826.0
144,Afrique,25.0,Femme,12.0,Oui,1.0,2.0,4257.3,2876.3
145,Europe,30.0,Femme,,Oui,1.0,6.0,3581.4,2520.8
146,Antarctique,35.0,Femme,9.0,Non,0.0,3.0,4460.2,3024.7
147,Antarctique,26.0,Homme,12.0,,0.0,2.0,5023.1,3145.5
148,Antarctique,38.0,Homme,8.0,Oui,0.0,4.0,5263.6,4025.3
149,Afrique,26.0,Homme,8.0,Oui,1.0,4.0,4200.7,2633.4
150,Afrique,37.0,Femme,10.0,Non,0.0,3.0,3070.0,2286.4
151,AmeriqueDuNord,31.0,Homme,13.0,Oui,0.0,3.0,5930.0,3904.7
152,Oceanie,32.0,Homme,9.0,Non,0.0,3.0,4103.1,2702.9
153,Asie,43.0,Homme,10.0,Oui,0.0,3.0,5009.2,3084.7
154,Europe,29.0,Femme,13.0,Oui,1.0,3.0,6176.0,3904.9
155,AmeriqueDuSud,40.0,Homme,13.0,Oui,,4.0,5159.8,3252.3
156,Afrique,33.0,Femme,6.0,Oui,0.0,5.0,3312.0,2347.1
157,Asie,43.0,Femme,8.0,Non,0.0,6.0,3413.0,2724.8
158,Antarctique,47.0,Femme,8.0,Oui,1.0,3.0,4914.1,3623.7
159,Europe,42.0,Femme,8.0,Oui,1.0,2.0,5433.6,4114.7
160,Oceanie,35.0,Femme,7.0,Oui,1.0,2.0,4321.1,2907.9
161,Asie,24.0,Homme,11.0,Oui,1.0,5.0,4666.9,2745.6
162,Afrique,42.0,Femme,10.0,Oui,1.0,6.0,3931.5,2322.6
163,Oceanie,23.0,Femme,13.0,Oui,0.0,5.0,5685.6,3805.9
164,Afrique,24.0,Homme,10.0,Oui,1.0,4.0,3966.2,3003.0
165,Oceanie,24.0,Femme,12.0,Non,0.0,2.0,4133.5,3319.1
166,Afrique,47.0,Homme,7.0,Non,0.0,6.0,2687.7,1971.5
167,AmeriqueDuNord,34.0,Homme,10.0,Oui,1.0,2.0,4967.9,3163.1
168,Afrique,,Homme,6.0,Oui,0.0,5.0,2819.6,2053.7
169,AmeriqueDuNord,31.0,Homme,14.0,Non,0.0,5.0,4689.8,3323.3
170,Asie,44.0,Femme,6.0,Oui,1.0,4.0,4217.8,2984.1
171,AmeriqueDuSud,26.0,Homme,11.0,Non,0.0,5.0,3494.2,2523.9
172,Oceanie,25.0,Femme,7.0,Oui,1.0,2.0,4286.7,2721.9
173,AmeriqueDuSud,34.0,Femme,13.0,Non,1.0,4.0,4037.2,2619.3
174,Asie,36.0,Homme,13.0,Oui,1.0,4.0,5584.2,3439.8
175,Antarctique,38.0,Homme,13.0,Oui,0.0,3.0,6382.4,4764.3
176,AmeriqueDuSud,43.0,Femme,13.0,,1.0,5.0,4024.5,2861.4
177,Oceanie,39.0,Homme,10.0,Non,1.0,,4416.0,3478.6
178,Europe,37.0,Femme,,Oui,1.0,2.0,3561.3,2076.6
179,Asie,36.0,Homme,13.0,Oui,0.0,4.0,4999.7,3487.3
180,Oceanie,33.0,Femme,8.0,Non,1.0,5.0,3709.8,2582.8
181,Oceanie,,Femme,13.0,Non,0.0,4.0,3884.9,3177.0
182,Antarctique,44.0,Homme,12.0,Non,0.0,5.0,5397.3,3763.9
183,AmeriqueDuNord,32.0,Femme,6.0,Non,1.0,3.0,,
184,Afrique,23.0,Homme,9.0,Oui,,5.0,3330.6,2231.7
185,Afrique,44.0,Femme,,Oui,1.0,5.0,2444.9,1769.9
186,Afrique,35.0,Homme,6.0,Non,0.0,4.0,2242.7,1550.5
187,AmeriqueDuSud,40.0,Femme,9.0,Non,0.0,2.0,3804.2,2726.8
188,AmeriqueDuSud,39.0,Homme,12.0,Non,1.0,3.0,4914.0,2922.6
189,AmeriqueDuNord,25.0,Femme,14.0,Oui,,5.0,5230.6,3886.9
190,AmeriqueDuSud,45.0,Femme,13.0,Non,1.0,3.0,4324.5,3319.7
191,Asie,,Femme,10.0,Non,0.0,,3509.0,2460.4
192,Europe,,Homme,12.0,Non,0.0,5.0,3719.2,2555.7
193,Afrique,25.0,Femme,13.0,Non,,6.0,2881.6,2007.1
194,Europe,,Homme,14.0,Non,0.0,3.0,4935.9,3326.2
195,Oceanie,45.0,Femme,7.0,Oui,1.0,3.0,4661.1,3400.1
196,Antarctique,44.0,Femme,10.0,Oui,0.0,4.0,5044.5,2949.7
197,Asie,45.0,Homme,7.0,Non,,,3375.5,2557.4
198,Antarctique,27.0,Homme,11.0,Non,1.0,5.0,4932.8,4110.1
199,Oceanie,33.0,Homme,10.0,Non,1.0,6.0,4074.6,2510.2
200,AmeriqueDuNord,42.0,Homme,9.0,Oui,0.0,2.0,4982.9,3253.6
201,Asie,32.0,Homme,6.0,Oui,0.0,6.0,3925.0,2340.8
202,Europe,33.0,Homme,,Non,1.0,4.0,2286.6,1713.4
203,Europe,40.0,Femme,10.0,Non,1.0,4.0,,
204,AmeriqueDuNord,27.0,Homme,10.0,Oui,0.0,6.0,4303.3,3409.3
205,Oceanie,38.0,Homme,12.0,Non,,4.0,5082.6,3073.4
206,Antarctique,42.0,Homme,,Oui,1.0,5.0,3591.0,2697.5
207,AmeriqueDuNord,30.0,Homme,8.0,,,5.0,3680.1,2270.6
208,AmeriqueDuSud,25.0,Femme,10.0,Oui,0.0,5.0,3941.4,2716.7
209,Europe,,Femme,9.0,Non,0.0,3.0,3585.0,2224.8
210,Asie,29.0,Femme,9.0,Non,,4.0,3073.9,2268.8
211,Asie,47.0,Homme,12.0,Oui,,2.0,5543.7,4116.4
212,Oceanie,45.0,Femme,11.0,Oui,1.0,5.0,5004.7,2868.3
213,AmeriqueDuSud,38.0,Femme,7.0,Non,0.0,,3313.3,2160.9
214,Europe,37.0,Homme,9.0,Oui,1.0,,5692.6,4030.1
215,Europe,,Homme,12.0,Oui,,3.0,4726.8,3597.2
216,AmeriqueDuSud,41.0,Femme,9.0,Non,0.0,3.0,2964.5,2199.3
217,AmeriqueDuNord,36.0,Femme,10.0,Non,1.0,4.0,4509.3,2692.7
218,Oceanie,37.0,Femme,11.0,Oui,0.0,3.0,5213.4,3336.6
219,Asie,46.0,Femme,14.0,Non,0.0,6.0,4351.4,3321.6
220,Antarctique,43.0,Homme,13.0,Non,1.0,3.0,5322.7,3953.8
221,AmeriqueDuNord,41.0,Femme,8.0,Oui,1.0,2.0,4965.4,3477.6
222,AmeriqueDuSud,45.0,Femme,14.0,Oui,0.0,3.0,4705.9,3038.9
223,AmeriqueDuSud,40.0,Femme,11.0,Non,0.0,4.0,3450.6,2538.2
224,Europe,45.0,Femme,11.0,Oui,0.0,5.0,5296.3,3498.0
225,Antarctique,26.0,Homme,7.0,Non,0.0,2.0,3715.6,2522.0
226,AmeriqueDuNord,24.0,Homme,9.0,Oui,1.0,2.0,4960.2,3643.9
227,AmeriqueDuSud,45.0,Homme,14.0,Oui,1.0,5.0,5513.7,4235.0
228,AmeriqueDuNord,39.0,Homme,7.0,Oui,1.0,3.0,4724.9,3065.2
229,Afrique,44.0,Femme,11.0,Non,1.0,,4052.3,3136.6
230,Afrique,40.0,Homme,12.0,Non,0.0,2.0,,
231,AmeriqueDuNord,41.0,Femme,8.0,Non,0.0,5.0,3868.0,2630.2
232,AmeriqueDuNord,33.0,Femme,14.0,Non,1.0,3.0,4665.2,3387.4
233,Antarctique,38.0,Femme,13.0,Non,1.0,2.0,5909.5,4536.9
234,Afrique,40.0,Homme,7.0,Non,1.0,5.0,2850.3,2253.9
235,Asie,42.0,Femme,,Oui,0.0,4.0,2450.3,1761.1
236,Antarctique,42.0,Femme,7.0,Oui,0.0,3.0,4964.9,3719.5
237,Oceanie,29.0,Femme,12.0,Non,0.0,3.0,4798.3,3623.6
238,Antarctique,37.0,Homme,9.0,Non,0.0,4.0,4765.5,2923.2
239,Asie,37.0,Femme,11.0,Non,1.0,6.0,3919.3,2574.2
240,Asie,28.0,Homme,9.0,Non,1.0,3.0,3730.1,2461.2
241,Oceanie,35.0,Femme,13.0,Oui,1.0,5.0,,
242,Afrique,23.0,Femme,9.0,Non,1.0,3.0,2710.1,1786.1
243,AmeriqueDuSud,,Homme,12.0,Non,0.0,2.0,3856.4,3029.7
244,Afrique,42.0,Homme,14.0,Non,0.0,2.0,4362.5,3086.6
245,AmeriqueDuNord,38.0,Femme,,Non,0.0,5.0,2016.3,1494.7
246,AmeriqueDuNord,26.0,Homme,11.0,Non,1.0,4.0,4313.2,3203.7
247,Oceanie,41.0,Femme,,Oui,1.0,5.0,3107.2,2386.3
248,Antarctique,43.0,Femme,9.0,Non,0.0,4.0,4038.5,2561.5
249,Antarctique,31.0,Femme,9.0,Non,0.0,5.0,3805.6,2516.0
250,Asie,28.0,Homme,12.0,Non,0.0,4.0,4416.0,3358.9
251,Antarctique,39.0,Homme,,Oui,0.0,2.0,4096.9,2831.6
252,Europe,45.0,Homme,9.0,Oui,0.0,4.0,5201.0,3971.6
253,Oceanie,29.0,Homme,14.0,Non,1.0,5.0,5312.7,3730.3
254,Oceanie,24.0,Femme,11.0,Non,0.0,3.0,4194.8,3288.1
255,Afrique,39.0,Femme,,Oui,0.0,4.0,1395.3,1093.2
256,Asie,40.0,Homme,8.0,Non,0.0,3.0,4008.5,2926.9
257,Antarctique,38.0,Homme,8.0,Non,0.0,4.0,3917.2,2726.3
258,Afrique,40.0,Femme,7.0,Oui,1.0,5.0,3916.8,2787.2
259,AmeriqueDuNord,39.0,Femme,,Non,0.0,6.0,2044.8,1519.5
260,Europe,36.0,Femme,8.0,Non,1.0,3.0,3669.0,2445.3
261,AmeriqueDuSud,32.0,Homme,13.0,,1.0,5.0,4824.6,3388.3
262,Afrique,41.0,Homme,7.0,Oui,0.0,2.0,3225.4,2422.5
263,Afrique,47.0,Femme,6.0,Non,,,2855.3,2089.6
264,Antarctique,41.0,Homme,7.0,Non,0.0,5.0,4390.1,3215.2
265,Afrique,35.0,Homme,12.0,Non,0.0,6.0,3383.4,2536.1
266,Europe,28.0,Homme,13.0,Oui,0.0,2.0,5666.4,3301.1
267,Antarctique,29.0,Femme,10.0,Non,0.0,6.0,3942.7,2495.8
268,AmeriqueDuNord,29.0,Femme,7.0,Oui,0.0,5.0,4053.5,2689.7
269,AmeriqueDuSud,28.0,Femme,7.0,Oui,0.0,2.0,4120.2,2912.5
270,AmeriqueDuSud,,Femme,7.0,Oui,0.0,4.0,3224.2,2512.7
271,Asie,26.0,Homme,,Non,1.0,5.0,1748.7,1412.6
272,AmeriqueDuSud,45.0,Femme,11.0,Non,1.0,4.0,3725.9,2374.1
273,Antarctique,40.0,Homme,12.0,Non,1.0,6.0,5570.8,3472.9
274,Oceanie,39.0,Femme,13.0,Oui,0.0,5.0,,
275,Asie,35.0,Homme,12.0,Oui,,6.0,5224.2,3708.8
276,AmeriqueDuSud,40.0,Femme,13.0,Non,0.0,3.0,3793.9,2168.7
277,Oceanie,39.0,Femme,9.0,Non,1.0,2.0,4154.1,3191.6
278,Afrique,29.0,Homme,6.0,Non,1.0,5.0,2941.5,1891.4
279,AmeriqueDuNord,32.0,Femme,14.0,Non,1.0,,,
280,Afrique,33.0,Homme,6.0,Non,0.0,5.0,2147.4,1299.9
281,Antarctique,35.0,Homme,12.0,Non,0.0,4.0,5164.4,3717.9
282,Antarctique,27.0,Femme,7.0,,0.0,4.0,3692.6,2784.7
283,Afrique,33.0,Homme,12.0,Non,1.0,6.0,4095.8,3087.6
284,Antarctique,25.0,Homme,7.0,Non,0.0,5.0,3958.4,2868.7
285,Asie,26.0,Homme,9.0,Non,0.0,5.0,3518.8,2260.9
286,AmeriqueDuSud,28.0,Femme,13.0,,0.0,4.0,3871.4,2765.0
287,Asie,44.0,Femme,7.0,Non,0.0,5.0,3152.3,2019.1
288,AmeriqueDuNord,47.0,Femme,11.0,Oui,0.0,3.0,5352.6,3869.4
289,Asie,32.0,Femme,13.0,Non,1.0,6.0,4167.9,2781.0
290,Asie,37.0,Femme,13.0,Oui,1.0,2.0,5305.1,3197.0
291,Afrique,37.0,Femme,9.0,Non,0.0,5.0,3059.2,1868.5
292,AmeriqueDuSud,46.0,Femme,10.0,Non,0.0,4.0,3598.6,2797.7
293,Oceanie,39.0,Femme,9.0,Non,1.0,3.0,4592.7,3520.8
294,Oceanie,39.0,Femme,8.0,Oui,1.0,2.0,4697.0,2973.3
295,Afrique,27.0,Homme,7.0,Oui,0.0,5.0,3426.9,2292.9
296,Antarctique,32.0,Homme,7.0,Non,,4.0,4342.2,2733.2
297,Oceanie,30.0,Homme,12.0,Oui,1.0,,6180.2,3774.4
298,Antarctique,33.0,Homme,9.0,Non,0.0,3.0,4054.2,2764.9
299,Europe,,Homme,9.0,Oui,1.0,,4385.4,3069.1
300,AmeriqueDuSud,44.0,Homme,7.0,Oui,1.0,2.0,4206.1,2979.9
301,Europe,40.0,Homme,12.0,Oui,0.0,3.0,5610.4,3862.2
302,AmeriqueDuSud,26.0,Homme,11.0,Non,1.0,2.0,4308.9,2846.7
303,Antarctique,36.0,Homme,8.0,Oui,1.0,2.0,5411.4,4179.3
304,Europe,34.0,Femme,8.0,Oui,1.0,4.0,4935.2,3581.4
305,Oceanie,38.0,Femme,12.0,Non,0.0,4.0,4902.1,3107.0
306,Asie,46.0,Homme,11.0,Oui,0.0,4.0,4803.8,3964.1
307,Oceanie,33.0,Femme,7.0,Oui,,4.0,3770.0,2492.6
308,Antarctique,24.0,Homme,7.0,Oui,1.0,3.0,5521.0,3753.8
309,AmeriqueDuNord,38.0,Femme,11.0,Non,0.0,6.0,,
310,AmeriqueDuSud,46.0,Femme,12.0,Oui,,3.0,4626.4,3289.1
311,Afrique,33.0,Femme,11.0,Non,1.0,5.0,3109.9,2080.7
312,Oceanie,30.0,Femme,11.0,Oui,0.0,4.0,4680.5,3188.4
313,Oceanie,25.0,Femme,9.0,Oui,0.0,5.0,4143.4,2481.0
314,Oceanie,35.0,Femme,8.0,Oui,0.0,5.0,4565.9,3102.7
315,Oceanie,40.0,Femme,6.0,Non,1.0,5.0,4050.4,3179.5
316,Oceanie,,Homme,12.0,Oui,0.0,5.0,4981.3,3980.5
317,Antarctique,33.0,Homme,9.0,Oui,0.0,4.0,5320.6,3483.2
318,Antarctique,38.0,Femme,6.0,,1.0,3.0,,
319,AmeriqueDuNord,46.0,Femme,8.0,Non,,3.0,3498.2,2699.0
320,AmeriqueDuNord,46.0,Femme,12.0,Non,0.0,6.0,4510.9,3395.9
321,Afrique,25.0,Homme,8.0,Non,,5.0,2741.2,1897.2
322,AmeriqueDuNord,24.0,Femme,7.0,Oui,1.0,4.0,4384.2,2799.3
323,Afrique,42.0,Femme,11.0,Non,1.0,3.0,3803.6,2523.9
324,Asie,24.0,Homme,11.0,Oui,1.0,6.0,4457.3,3027.9
325,AmeriqueDuNord,32.0,Femme,8.0,,1.0,6.0,4201.3,3094.3
326,AmeriqueDuSud,26.0,Homme,11.0,Non,0.0,2.0,4021.1,2550.3
327,Asie,30.0,Homme,8.0,Oui,1.0,3.0,4281.1,2686.4
328,Antarctique,42.0,Femme,12.0,Non,0.0,4.0,5201.7,3258.9
329,Europe,35.0,Homme,,Non,1.0,6.0,2435.5,2070.1
330,Afrique,40.0,Femme,10.0,Non,0.0,2.0,2858.2,1929.6
331,Afrique,34.0,Homme,6.0,Non,,5.0,2708.4,1963.5
332,AmeriqueDuNord,44.0,Homme,14.0,Non,1.0,6.0,5675.5,3926.4
333,Afrique,39.0,Homme,12.0,,0.0,2.0,3618.4,2816.9
334,AmeriqueDuSud,26.0,Femme,14.0,Oui,1.0,3.0,5440.9,4267.2
335,Afrique,39.0,Femme,9.0,Non,0.0,2.0,3118.1,2267.0
336,Afrique,33.0,Femme,11.0,Non,0.0,4.0,2667.9,1740.2
337,Asie,39.0,Homme,8.0,Oui,0.0,3.0,4183.3,2602.0
338,Antarctique,41.0,Homme,13.0,Non,0.0,5.0,5301.6,4030.7
339,Antarctique,35.0,Homme,10.0,Non,0.0,5.0,4931.3,3503.7
